DEPARTAMENTO DEL HECHO;GENERICA;ESPECIFICA;MODALIDAD;2015;2016;2017;2018;2019;2020;2021;2022
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;;2;9;4;2;2;7;3
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;223;349;288;243;202;204;217;214
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;348;267;;;;;
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;9;3;1;1;1;2;1
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;14;1;;;;;
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA EL PATRIMONIO;PROTECCION DE SEÑALES SATELITALES ENCRIPTADAS;;1;1;;;;;
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;18;62;2;1;3;9;8
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;260;11;82;9;3;10;22;12
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;2;12;63;18;11;13;16;11
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;42;4;90;;;;;
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;395;71;71;67;109;;
